idPromotion,Nom,Reduction,DateDebut,DateFin
56,Serpent Woodfern,44,08/01/2014,20/01/2014
57,Fanleaf Crinklemat,42,17/06/2011,28/06/2011
58,Prairie Bluebells,7,29/06/2016,06/07/2016
59,Parasol Whitetop,33,16/06/2014,30/06/2014
60,Scaly Blazing Star,8,17/01/2017,30/01/2017
61,Little Spurflower,7,06/06/2012,17/06/2012
62,Tailed Maidenhair,2,10/01/2012,18/01/2012
63,Cactus Apple,3,17/01/2016,27/01/2016
64,Bristlecup Sandmat,14,22/07/2011,05/08/2011
65,Carolina Leaf-flower,37,18/06/2019,30/06/2019
66,Longstalk Clover,29,23/09/2013,05/10/2013
67,Longspine Fishhook Cactus,26,04/06/2018,16/06/2018
68,Yam,2,18/02/2014,26/02/2014
69,Maclura,6,03/03/2011,17/03/2011
70,Hygrohypmum Moss,32,28/07/2018,06/08/2018
71,Hybrid Locust,32,08/07/2016,18/07/2016
72,Anil Racimillo,14,02/09/2010,12/09/2010
73,Espino,46,25/12/2017,07/01/2018
74,Thompson's Peteria,39,26/10/2017,05/11/2017
75,Creeping St. Johnswort,10,20/08/2018,31/08/2018
76,Diehl's Milkvetch,34,14/10/2019,28/10/2019
77,Closed Gentian,5,08/03/2010,16/03/2010
78,Juniper Tumblemustard,31,19/05/2018,28/05/2018
79,White False Hellebore,8,05/03/2014,16/03/2014
80,Hornemann's Willowherb,14,10/11/2016,17/11/2016
81,Creeping Alkaligrass,9,12/01/2018,21/01/2018
82,Okra,15,11/02/2016,18/02/2016
83,Cleveland's Beardtongue,19,18/07/2012,29/07/2012
84,Elsinore Buckwheat,36,13/03/2013,23/03/2013
85,Good King Henry,21,05/04/2020,12/04/2020
86,Textile Bamboo,30,12/06/2012,23/06/2012
87,English Oak,12,20/01/2019,02/02/2019
88,Hickman's Checkerbloom,46,14/10/2020,27/10/2020
89,Inyo Meadow Lupine,48,18/12/2016,31/12/2016
90,Zigzag Larkspur,35,12/01/2014,24/01/2014
91,White Snakeroot,8,15/06/2018,23/06/2018
92,Slender Snakecotton,22,26/01/2019,08/02/2019
93,Canterbury Bells,2,05/12/2014,15/12/2014
94,Primrose Monkeyflower,34,20/09/2015,04/10/2015
95,Largeleaf Leather-root,45,22/11/2017,03/12/2017
96,Nimblewill,17,05/05/2010,14/05/2010
97,Slender Arrowhead,7,02/06/2012,16/06/2012
98,Mata De Peo,1,07/10/2015,14/10/2015
99,Dryopetalon,38,01/06/2014,09/06/2014
100,Blackbrush Wattle,45,02/08/2019,14/08/2019
101,Texan Hogplum,26,16/04/2010,30/04/2010
102,Pot Marigold,15,09/05/2013,22/05/2013
103,White Meadowsweet,40,19/11/2012,27/11/2012
104,Maryland Meadowbeauty,43,01/02/2020,10/02/2020
105,Carolina Desert-thorn,16,19/04/2018,03/05/2018
106,Nuttall Oak,19,05/04/2016,14/04/2016
107,Pencilflower,4,04/04/2010,13/04/2010
108,Portuguese Daisy,18,11/05/2011,22/05/2011
109,San Diego Mesamint,50,24/08/2015,03/09/2015
110,Graceful False Flax,27,27/11/2018,08/12/2018
111,Beard Lichen,4,10/08/2017,19/08/2017
112,Disc Lichen,20,29/01/2017,08/02/2017
113,Carolina Campylopus Moss,38,11/10/2013,24/10/2013
114,Sphagnum,24,05/09/2020,15/09/2020
115,Aleutian Avens,35,17/01/2020,30/01/2020
116,Needle And Thread,38,12/06/2015,23/06/2015
117,Kunth's Hacksaw Fern,31,21/03/2018,04/04/2018
118,Longleaf Cowpea,5,05/07/2013,17/07/2013
119,White Four O'clock,1,07/02/2019,19/02/2019
120,Parodia,27,26/04/2017,07/05/2017
121,Woodland Buttercup,16,03/12/2015,13/12/2015
122,Santa Monica Mountains Dudleya,20,28/02/2014,12/03/2014
123,Halfchaff Sedge,17,18/01/2019,27/01/2019
124,Leche De Perra,50,07/01/2018,21/01/2018
125,Palespike Lobelia,45,22/08/2012,05/09/2012
126,Hog Plum,33,04/02/2013,16/02/2013
127,Prickly Currant,20,18/10/2016,30/10/2016
128,Beautiful Aster,33,22/09/2018,02/10/2018
129,Brachythecium Moss,39,01/05/2013,13/05/2013
130,Parry's Arnica,22,29/03/2016,05/04/2016
131,Stream-bed Cyanea,31,30/12/2017,09/01/2018
132,Fairybit Maiden Fern,33,02/10/2012,14/10/2012
133,Trypelthelium Lichen,15,19/10/2019,31/10/2019
134,Orthotrichum Moss,10,17/06/2011,29/06/2011
135,Downy Pagoda-plant,44,16/07/2014,28/07/2014
136,Jointgrass,13,04/01/2020,11/01/2020
137,Brigantiaea Lichen,2,19/09/2017,01/10/2017
138,South American Bonnet Orchid,35,11/05/2016,23/05/2016
139,Florida Water Aster,27,27/08/2016,07/09/2016
140,Hairy Lady's Mantle,35,31/01/2011,12/02/2011
141,Weakleaf Bur Ragweed,49,22/05/2011,02/06/2011
142,Rhizoma Peanut,25,03/02/2019,14/02/2019
143,Prairie Willow,31,02/02/2016,16/02/2016
144,Blood Panicgrass,19,04/10/2013,17/10/2013
145,Brigantiaea Lichen,34,04/04/2010,14/04/2010
146,Florida Diamondflowers,4,15/10/2018,22/10/2018
147,Walker Prairie Clover,29,16/10/2016,23/10/2016
148,Fissidens Moss,4,26/07/2011,02/08/2011
149,Japanese Glorybower,28,03/04/2011,11/04/2011
150,Philodendron,8,18/07/2018,29/07/2018
151,Teloschistes Lichen,47,21/09/2012,05/10/2012
152,Drug Eyebright,44,10/11/2019,17/11/2019
153,Lecidea Lichen,1,26/06/2010,08/07/2010
154,Scarlet Keckiella,29,24/07/2011,02/08/2011
155,Fern-leaf Acacia,20,21/03/2012,02/04/2012
156,Spitzbergen's Buttercup,19,24/12/2017,07/01/2018
157,American Spurred Gentian,48,03/01/2010,13/01/2010
158,Maui Bur Cucumber,28,08/05/2014,17/05/2014
159,Cursed Buttercup,20,04/01/2020,12/01/2020
160,Moab Milkvetch,12,06/03/2011,17/03/2011
161,Ames' Milkvetch,25,23/11/2016,30/11/2016
162,Robbins' Cup Lichen,34,12/03/2019,21/03/2019
163,Leathery Colicwood,17,02/04/2018,16/04/2018
164,Ovateleaf Cliffbrake,50,11/12/2014,24/12/2014
165,Port Huron Hawthorn,6,21/07/2017,31/07/2017
166,Splitleaf Indian Paintbrush,43,31/05/2019,12/06/2019
167,Muskflower,30,18/07/2014,31/07/2014
168,Waianae Range Papala,1,07/12/2011,16/12/2011
169,Mountain Pepperweed,44,31/12/2014,13/01/2015
170,Largeflower Phacelia,40,30/04/2018,13/05/2018
171,Stingbush,20,05/08/2013,16/08/2013
172,Gaussia,1,10/03/2015,18/03/2015
173,Roundflower Catclaw,8,18/09/2019,26/09/2019
174,Snow Lichen,17,18/05/2010,01/06/2010
175,Torrey's Surfgrass,48,23/10/2010,01/11/2010
176,Awnless Spiralgrass,18,06/12/2018,13/12/2018
177,Nodding Sedge,13,21/11/2015,04/12/2015
178,Ammocodon,29,11/12/2018,25/12/2018
179,Palmer Ceanothus,48,10/03/2014,24/03/2014
180,Santa Cruz Island Hollyfern,34,03/04/2011,13/04/2011
181,Bog Pimpernel,25,07/01/2013,20/01/2013
182,Yellow Bloodleaf,33,06/07/2018,19/07/2018
183,Japanese Corktree,34,05/12/2011,17/12/2011
184,Cirriphyllum Moss,31,06/11/2017,17/11/2017
185,Baby Blue Eyes,17,02/12/2017,14/12/2017
186,Field Sagewort,8,15/09/2015,28/09/2015
187,Turpentine Tree,29,09/06/2020,22/06/2020
188,Thread Lichen,45,19/02/2012,27/02/2012
189,Tufted Evening Primrose,46,22/08/2012,03/09/2012
190,Yellow Gentian,15,22/12/2012,05/01/2013
191,Wart Lichen,36,18/06/2010,02/07/2010
192,Lichinodium Lichen,28,27/12/2010,08/01/2011
193,Map Lichen,45,12/05/2012,24/05/2012
194,Wood Lily,25,30/09/2014,12/10/2014
195,Thrift Seapink,22,28/07/2016,11/08/2016
196,Maui Remya,39,01/10/2015,13/10/2015
197,Crack Willow,36,08/02/2017,20/02/2017
198,Maryland Hawkweed,44,10/12/2013,20/12/2013
199,Elmer's Ragwort,29,18/12/2012,26/12/2012
200,Sierra White Fir,13,25/09/2012,05/10/2012
201,Cumberland Sedge,45,14/08/2011,24/08/2011
202,Bigelow's Beggarticks,50,06/08/2016,19/08/2016
203,Longtongue Muhly,49,09/01/2017,21/01/2017
204,Smooth Rattlebox,25,13/12/2016,25/12/2016
205,Arracacia,11,10/02/2019,17/02/2019
206,Compact Pyrenopsis Lichen,35,09/10/2017,21/10/2017
207,Asian Spikemoss,22,06/12/2019,20/12/2019
208,Holdtight,17,13/10/2017,21/10/2017
209,Small-leaf Spiderwort,31,04/01/2012,17/01/2012
210,False Tick Trefoil,26,24/09/2010,01/10/2010
211,Asian Melastome,6,04/08/2011,15/08/2011
212,Holarrhena,25,14/12/2014,22/12/2014
213,Chee Reedgrass,19,15/03/2011,23/03/2011
214,Mendocino Gentian,3,03/03/2018,15/03/2018
215,California Muhly,21,11/08/2019,24/08/2019
216,Star Campylium Moss,39,22/02/2019,01/03/2019
217,Island Marlberry,37,19/01/2018,26/01/2018
218,Cinnabar Orange Lichen,23,22/06/2017,04/07/2017
219,Plummer's Mariposa Lily,39,09/09/2013,22/09/2013
220,Largeflower Evening Primrose,44,24/08/2020,03/09/2020
221,Dwarf Ginseng,17,28/03/2020,09/04/2020
222,Texas Persimmon,46,06/11/2015,19/11/2015
223,Marsh Grass Of Parnassus,41,05/06/2020,19/06/2020
224,Shortstyle Indian Paintbrush,22,22/09/2020,03/10/2020
225,Racomitrium Moss,1,14/06/2014,21/06/2014
226,Smooth Small-leaf Ticktrefoil,36,22/11/2017,03/12/2017
227,Horizontal Felt Lichen,33,01/12/2015,12/12/2015
228,Stiffstem Flax,47,03/06/2016,11/06/2016
229,Wenatchee Indian Paintbrush,11,27/11/2015,04/12/2015
230,Petrea,37,09/08/2020,18/08/2020
231,Wavy Heliotrope,11,16/09/2014,27/09/2014
232,Plains Mock Vervain,1,13/05/2015,24/05/2015
233,Sensitive Partridge Pea,10,02/06/2019,09/06/2019
234,Olympic Onion,5,10/09/2014,20/09/2014
235,Showy Stickseed,5,12/04/2018,24/04/2018
236,Ohio Buckeye,23,19/02/2010,28/02/2010
237,Prairie Milkweed,12,22/06/2011,05/07/2011
238,Bush's Fissidens Moss,6,07/05/2019,21/05/2019
239,Purple Amole,22,05/11/2016,19/11/2016
240,Wavyleaf Indian Paintbrush,26,11/05/2017,25/05/2017
241,Hazel Sterculia,28,02/06/2019,16/06/2019
242,Devil's Bite,41,20/10/2013,31/10/2013
243,Lunaria,11,03/07/2020,14/07/2020
244,Slim Amaranth,12,08/03/2015,15/03/2015
245,Toothed Skin Lichen,29,18/08/2013,29/08/2013
246,Sea Putat,21,13/11/2015,26/11/2015
247,Prayerplant,17,17/11/2014,24/11/2014
248,Funeral Mountain Blue-eyed Grass,39,08/09/2012,15/09/2012
249,Nootka Lupine,8,20/02/2018,27/02/2018
250,Bayberry,23,06/02/2019,14/02/2019
251,Grant's Sedge,19,25/12/2015,08/01/2016
252,Dwarf Stickpea,34,07/01/2018,16/01/2018
253,Engelmann's Aster,5,11/07/2013,18/07/2013
254,Polygala,6,13/11/2016,26/11/2016
255,American Long-leaved Bamboo,3,01/11/2019,15/11/2019
256,Ternate Grapefern,10,02/11/2017,10/11/2017
257,Coiled Lousewort,13,26/04/2018,09/05/2018
258,Long Lupine,15,05/10/2012,14/10/2012
259,Dotted Bristle Fern,8,16/06/2019,25/06/2019
260,Fallflowering Pleatleaf,4,21/12/2011,01/01/2012
261,Griffiths' Saltbush,21,19/05/2012,26/05/2012
262,Tetrapterys,29,15/06/2011,29/06/2011
263,California Boxelder,20,10/12/2020,21/12/2020
264,Sarcographa Lichen,3,25/05/2018,06/06/2018
265,Jaumea,8,27/01/2019,05/02/2019
266,Rim Lichen,9,03/09/2013,15/09/2013
267,Wild Celery,16,13/06/2012,27/06/2012
268,Jazmin De Trapo,48,10/08/2018,18/08/2018
269,Velvet Phyllostegia,46,24/10/2019,05/11/2019
270,Wild Ackee,37,10/04/2010,23/04/2010
271,Lobe-leaf Hopbush,32,23/05/2013,31/05/2013
272,Coamo,43,01/12/2020,14/12/2020
273,Threebract Onion,25,04/05/2014,17/05/2014
274,Texas Prairie Parsley,10,16/01/2016,29/01/2016
275,Rose's Orange Lichen,26,18/11/2018,26/11/2018
276,Rosy Camphorweed,45,17/12/2010,30/12/2010
277,Soapwort,48,07/03/2019,21/03/2019
278,Indian Rubberplant,40,01/01/2019,10/01/2019
279,Spoonleaf,30,06/03/2011,14/03/2011
280,Matted Lichen,24,12/01/2018,26/01/2018
281,Tonto Basin Century Plant,34,11/11/2012,20/11/2012
282,Miniature Lupine,38,07/11/2017,20/11/2017
283,Jack Pine,22,20/06/2018,04/07/2018
284,Serpentine Erigeron,19,07/07/2020,19/07/2020
285,Slender Woodland Sedge,46,12/02/2012,22/02/2012
286,Twoflower Rattlebox,17,12/01/2016,26/01/2016
287,Hybrid Locust,30,13/05/2018,26/05/2018
288,Robust Hoffmann's Buckwheat,40,18/10/2017,29/10/2017
289,Paskenta Grade Dwarf-flax,9,28/03/2019,05/04/2019
290,Orange Lichen,20,26/06/2020,07/07/2020
291,Giant Reed,31,23/09/2016,30/09/2016
292,Warnock's Snakewood,10,29/05/2010,07/06/2010
293,Slimleaf Plainsmustard,29,08/05/2015,21/05/2015
294,Kern Plateau Bird's-beak,41,27/03/2020,09/04/2020
295,Porter's Licorice-root,42,08/01/2012,16/01/2012
296,Florida Pondweed,41,14/04/2018,23/04/2018
297,Villous False Candytuft,10,17/01/2018,27/01/2018
298,Dogtongue Buckwheat,30,13/08/2015,21/08/2015
299,Sierra Lewisia,21,27/11/2020,09/12/2020
300,Colorado Rush,47,06/11/2017,20/11/2017
301,Redbird Flower,39,21/07/2017,02/08/2017
302,Douglas-fir Dwarf Mistletoe,49,08/11/2011,15/11/2011
303,Spreading Buckwheat,46,24/10/2017,05/11/2017
304,Galleta Grass,23,02/06/2011,11/06/2011
305,Hempvine,38,26/05/2013,09/06/2013
306,Goldencrest,25,01/02/2013,15/02/2013
307,Mexican Homomallium Moss,37,19/01/2020,02/02/2020
308,Reverchon's Spiderwort,40,22/06/2013,04/07/2013
309,Texas Cupflower,27,07/09/2018,20/09/2018
310,Pinnate False Threadleaf,15,31/01/2017,13/02/2017
311,Milkweed Milkvetch,34,27/10/2019,09/11/2019
312,Sorrel,35,06/10/2014,14/10/2014
313,Skyblue Clustervine,35,23/09/2019,07/10/2019
314,Black Spruce,13,22/12/2018,31/12/2018
315,West Indian Marsh Grass,23,31/07/2018,12/08/2018
316,Chenopod Brickellbush,11,21/08/2019,29/08/2019
317,Purple False Foxglove,38,05/01/2011,19/01/2011
318,Fort Huachuca Vervain,18,15/10/2014,27/10/2014
319,Anderson's Buttercup,33,31/05/2016,12/06/2016
320,Netted Anoda,21,09/09/2015,22/09/2015
321,Narrowpod Sensitive Pea,33,12/02/2019,23/02/2019
322,San Luis Mountain Giant Hyssop,34,20/04/2015,02/05/2015
323,Yellow Bur Pincushionplant,17,30/05/2014,11/06/2014
324,Eltrot,49,17/04/2013,01/05/2013
325,Manyflower Thelypody,40,25/02/2013,10/03/2013
326,Rose Mock Vervain,9,14/11/2010,25/11/2010
327,Palm Fern,32,27/12/2017,09/01/2018
328,Pitcher's Stitchwort,18,25/08/2016,04/09/2016
329,Bicknell's Sedge,4,22/02/2018,07/03/2018
330,Canby's Cowbane,50,23/02/2013,06/03/2013
331,Bristly Hawkbit,11,16/11/2011,23/11/2011
332,Wartleaf Ceanothus,40,02/05/2016,16/05/2016
333,Glandular Plantain,26,24/10/2015,04/11/2015
334,Lesser Rushy Milkvetch,47,26/09/2016,10/10/2016
335,Oklahoma Phlox,28,28/04/2010,09/05/2010
336,Lemon Grass,38,08/03/2015,15/03/2015
337,Monkswort,47,28/04/2014,07/05/2014
338,Blue Lawngrass,22,28/11/2017,08/12/2017
339,Tropical Dancing-lady Orchid,7,29/03/2016,12/04/2016
340,New Mexico Spinystar,21,03/09/2010,14/09/2010
341,Pulvinate Pussytoes,25,10/03/2018,22/03/2018
342,Hale's Phyllopsora Lichen,15,09/06/2014,23/06/2014
343,Pale Mexican Pricklypoppy,27,26/09/2017,05/10/2017
344,Grand Fir,20,12/10/2017,24/10/2017
345,Alpine Woodrush,7,18/03/2012,30/03/2012
346,Cochise Sedge,22,26/09/2014,06/10/2014
347,Oeder's Lousewort,31,14/10/2011,24/10/2011
348,Snub Pea,38,13/12/2011,24/12/2011
349,Aceitillo,6,23/02/2015,02/03/2015
350,Dwarf Crownbeard,7,18/06/2018,27/06/2018
351,Little Ricegrass,26,03/05/2014,17/05/2014
352,Tapertip False Wheatgrass,2,29/06/2015,09/07/2015
353,Goldenrod,15,18/05/2015,26/05/2015
354,Goldenbush,10,20/03/2013,31/03/2013
355,Little Woodfern,44,27/10/2015,10/11/2015
356,Hairy Pagoda-plant,28,20/03/2014,03/04/2014
357,Conrad's Rinodina Lichen,3,24/03/2010,02/04/2010
358,Hairy Flowering Fern,17,22/06/2013,06/07/2013
359,Shortstem Beardtongue,1,14/04/2017,27/04/2017
360,Dutchman's Breeches,3,19/02/2013,28/02/2013
361,Coastal Flatsedge,47,08/12/2012,16/12/2012
362,Bleeding Heart,19,23/02/2018,06/03/2018
363,Jones' Townsend Daisy,38,28/11/2019,08/12/2019
364,Pigeonpea,21,22/12/2018,30/12/2018
365,Midsorus Fern,7,11/10/2019,19/10/2019
366,Albahaca,49,20/03/2020,03/04/2020
367,False Watermeal,13,21/01/2016,31/01/2016
368,Entosthodon Moss,13,04/11/2015,12/11/2015
369,Sulphur-flower Buckwheat,35,23/08/2013,02/09/2013
370,Palouse Goldenweed,25,26/04/2010,06/05/2010
371,Bahama Pigeonplum,39,01/06/2018,10/06/2018
372,Rhytidiopsis Moss,38,10/08/2020,24/08/2020
373,Big Deervetch,45,19/10/2015,31/10/2015
374,Estuary Sedge,29,02/10/2018,13/10/2018
375,Pore Lichen,5,16/07/2011,23/07/2011
376,Sticky Cinquefoil,27,11/12/2014,23/12/2014
377,Patterson's Dawnflower,16,14/12/2016,27/12/2016
378,Colchicum,27,24/01/2012,03/02/2012
379,Silky Cinquefoil,44,27/04/2016,04/05/2016
380,Graves' Plum,25,12/12/2016,19/12/2016
381,Bromelia,39,26/06/2012,04/07/2012
382,Chicoryleaf Wirelettuce,20,04/01/2019,16/01/2019
383,Fuzzytongue Penstemon,10,07/07/2013,18/07/2013
384,Doum Palm,20,17/10/2019,24/10/2019
385,Jacumba Milkvetch,3,20/07/2016,28/07/2016
386,Wild Chives,18,30/07/2012,08/08/2012
387,Pictetia,10,09/06/2016,20/06/2016
388,Tortured Chalice Lichen,18,25/11/2016,08/12/2016
389,Araujia,12,01/06/2016,14/06/2016
390,Hulten's Pitted Lichen,2,19/11/2014,30/11/2014
391,Dwarf Checkerbloom,43,08/10/2020,17/10/2020
392,Orange Lichen,33,16/11/2010,27/11/2010
393,Alps Yarrow,3,22/11/2017,03/12/2017
394,Winged Buckwheat,34,30/08/2013,06/09/2013
395,Pokeweed,5,31/08/2010,09/09/2010
396,Whitetop,18,02/10/2020,14/10/2020
397,Packard's Desertparsley,1,06/08/2018,16/08/2018
398,St. Paul's Wort,48,14/04/2014,27/04/2014
399,Showy Draba,21,29/10/2015,06/11/2015
400,Large Whorled Pogonia,12,21/04/2013,02/05/2013
401,Pacific Trillium,7,23/04/2015,07/05/2015
402,Maricao Pricklyash,13,05/05/2013,16/05/2013
403,Sordid Pepperweed,49,17/05/2020,30/05/2020
404,Lecidea Lichen,17,04/08/2012,18/08/2012
405,Longleaf Buchu,3,30/07/2011,12/08/2011
406,Calymperes Moss,47,22/05/2013,02/06/2013
407,Hylocomiastrum Moss,39,05/04/2016,14/04/2016
408,New Brunswick Blackberry,23,08/07/2019,22/07/2019
409,Cape Cod Blackberry,6,10/03/2011,20/03/2011
410,Showy Goldeneye,39,10/02/2016,18/02/2016
411,Ring-cup Oak,34,19/11/2010,30/11/2010
412,Ma'oloa,46,03/01/2017,14/01/2017
413,Groundplum Milkvetch,20,26/08/2011,06/09/2011
414,Broadleaf Carpetgrass,35,16/12/2015,23/12/2015
415,Cutleaf Toothwort,7,10/01/2014,22/01/2014
416,Orchardgrass,46,22/12/2016,05/01/2017
417,Aspen Bluebells,17,02/03/2016,12/03/2016
418,Needletip Blue-eyed Grass,10,20/01/2017,27/01/2017
419,New Mexico Fameflower,47,20/08/2010,02/09/2010
420,Rough Boneset,41,28/08/2016,06/09/2016
421,Magnolia,6,17/05/2012,28/05/2012
422,Wild Coffee,9,11/06/2015,24/06/2015
423,Roccella Lichen,12,17/05/2013,30/05/2013
424,Melaspilea Lichen,37,25/05/2010,03/06/2010
425,Cutgrass,15,05/04/2013,15/04/2013
426,Dixie Rosemallow,21,31/10/2018,12/11/2018
427,Fiveneedle Pricklyleaf,49,04/05/2019,16/05/2019
428,Neonotonia,35,24/03/2016,01/04/2016
429,Cheesewood,31,10/09/2010,22/09/2010
430,California Silverbush,2,03/05/2011,11/05/2011
431,Stickystem Pearlwort,21,28/12/2012,08/01/2013
432,Hill's Lupine,11,18/05/2020,26/05/2020
433,Cnidoscolus,35,23/04/2015,03/05/2015
434,Singapore Graveyard Flower,2,22/01/2014,30/01/2014
435,Field Pansy,17,02/11/2012,13/11/2012
436,Koehler's Rockcress,30,26/11/2020,08/12/2020
437,Northern Purple Pitcherplant,21,08/12/2012,17/12/2012
438,Gunsight Clarkia,45,30/05/2013,07/06/2013
439,Wirth's Beard Lichen,5,18/07/2019,29/07/2019
440,Bird Spiderflower,28,28/08/2011,09/09/2011
441,Sierra Tansymustard,6,08/06/2011,21/06/2011
442,Bridges' Gilia,35,26/06/2019,04/07/2019
443,Muskflower,7,11/05/2020,25/05/2020
444,Estuary Sedge,42,19/01/2017,26/01/2017
445,Lesser Marigold,32,25/08/2014,03/09/2014
446,European Turkey Oak,11,05/10/2020,13/10/2020
447,Meadow Milkvetch,1,06/09/2018,13/09/2018
448,Purple Chinese Houses,36,18/03/2010,25/03/2010
449,Caracus Wigandia,40,03/07/2016,16/07/2016
450,Thread Lichen,47,23/10/2017,30/10/2017
451,Poppy,25,15/04/2016,28/04/2016
452,Desert Muhly,25,15/10/2018,23/10/2018
453,Pinkstink Dung Moss,35,30/09/2013,11/10/2013
454,Twinberry Honeysuckle,15,11/11/2016,21/11/2016
455,Carline Thistle,19,17/01/2020,27/01/2020
456,Banksia,34,22/04/2020,02/05/2020
457,Huachuca Hawkweed,5,25/08/2012,02/09/2012
458,Taxiphyllum Moss,21,05/09/2016,18/09/2016
459,Common Water Hyacinth,20,08/01/2018,20/01/2018
460,Pohe Hiwa,30,15/08/2015,23/08/2015
461,Hawai'i Quillwort,28,19/01/2015,01/02/2015
462,Flatleaf Hollyfern,29,31/03/2013,13/04/2013
463,Cottonthistle,12,17/01/2017,28/01/2017
464,Red Hills Soap Plant,35,31/08/2019,07/09/2019
465,Tufted Alumroot,23,15/10/2019,22/10/2019
466,Tufted Alpine Saxifrage,23,09/10/2018,19/10/2018
467,Cutleaf Cyclanthera,46,19/07/2015,27/07/2015
468,Globefruit Primrose-willow,8,03/08/2015,14/08/2015
469,Spiral Dog's-tongue,23,16/05/2015,26/05/2015
470,Leavenworth's Vetch,46,13/04/2013,22/04/2013
471,Sickle Tickseed,20,09/12/2013,16/12/2013
472,Haplophyton,22,19/10/2010,31/10/2010
473,Clustered Popcornflower,43,09/02/2014,19/02/2014
474,Chestnut Rush,22,04/07/2011,12/07/2011
475,Leafy Rosemary-mint,9,17/03/2018,24/03/2018
476,Oregon Bleeding Heart,34,26/02/2019,08/03/2019
477,Alder,33,26/12/2020,02/01/2021
478,Twoflower Pea,11,19/12/2013,29/12/2013
479,Hard Treefern,29,01/05/2015,08/05/2015
480,Western Mountain Kittentails,15,20/05/2014,28/05/2014
481,Mistletoe,4,21/07/2012,01/08/2012
482,Oneflower Fleabane,26,06/08/2014,14/08/2014
483,Tall Tidytips,8,16/01/2017,29/01/2017
484,Arizona Ipomopsis,12,06/12/2011,13/12/2011
485,Elliott's Fanpetals,31,12/09/2010,19/09/2010
486,Tangerine,4,13/08/2019,23/08/2019
487,Eyed Gilia,26,19/11/2016,27/11/2016
488,Hillside False Bindweed,12,04/07/2020,16/07/2020
489,Flotow's Dimple Lichen,13,26/07/2016,06/08/2016
490,Nuttall's Reedgrass,28,18/08/2018,26/08/2018
491,Hairy False Ohelo,24,05/09/2010,15/09/2010
492,Blue Ridge Sedge,42,20/05/2011,03/06/2011
493,Lesser Snapdragon,33,03/02/2018,11/02/2018
494,Bearded Skeletongrass,39,02/11/2014,09/11/2014
